timestamp,value
2026-01-01,150.25
2026-01-02,154.80
2026-01-03,158.10
2026-01-04,162.40
2026-01-05,159.90
2026-01-06,165.30
2026-01-07,170.00
2026-01-08,168.50
2026-01-09,174.20
2026-01-10,178.60
2026-01-11,175.40
2026-01-12,181.10
2026-01-13,186.50
2026-01-14,183.90
2026-01-15,189.00
2026-01-16,194.20
2026-01-17,192.10
2026-01-18,198.50
2026-01-19,203.40
2026-01-20,200.80
2026-01-21,207.20
2026-01-22,212.90
2026-01-23,210.50
2026-01-24,216.00
2026-01-25,221.80
2026-01-26,219.20
2026-01-27,225.40
2026-01-28,230.10
2026-01-29,228.30
2026-01-30,234.90
